Produce_Type,Harvest_Date,Measurement_Date,Initial_Brix_Level,Initial_Weight,Initial_Damage_Score,Pretreatment,Avg_Temp_C,Avg_Humidity_%,Packaging,Age_at_Measurement,Remaining_Shelf_Life_Days
potato,2025-08-27,2025-11-04,8.0,258.8,2.01,washed,5.450062441341162,81.91976495174325,loose,69,0.0
orange,2025-09-07,2025-11-03,,234.9,0.18,washed,,84.87075402909285,carton,57,0.0
apple,2025-08-18,2025-11-02,13.4,132.5,1.31,washed,-0.15061187863678072,55.61063105637592,loose,76,0.0
potato,2025-10-01,2025-11-02,7.8,352.3,0.57,washed,10.856004138625881,65.07910319900378,carton,32,17.560088053108256
potato,2025-11-01,2025-11-04,6.9,213.0,2.65,washed,10.361832813450196,51.26004877893911,loose,3,42.00328970766175
orange,2025-10-26,2025-11-03,12.3,190.8,0.51,none,7.402863196017328,77.97701234046846,loose,8,20.52587052149222
apple,2025-09-16,2025-11-02,15.5,225.7,0.85,washed,6.446282200007088,80.20794305692753,carton,47,0.0
potato,2025-10-09,2025-11-02,7.2,382.5,2.67,pre-cooled,12.831582546875618,69.40532286786014,loose,24,24.970796164323765
potato,2025-10-20,2025-11-02,5.1,280.1,1.48,waxed,5.412825062748351,66.5532273670675,carton,13,40.2082575516522
strawberry,2025-09-25,2025-11-04,6.1,202.8,0.49,pre-cooled,,57.24235556021072,loose,40,0.0
banana,2025-09-18,2025-11-03,20.4,96.4,0.62,pre-cooled,5.707137912677772,88.35473897850655,carton,46,0.0
tomato,2025-09-07,2025-11-03,6.1,190.7,0.63,pre-cooled,8.740502030624784,68.3500005594678,loose,57,0.0
banana,2025-10-14,2025-11-02,20.4,154.1,0.99,pre-cooled,6.311487705098093,,sealed_punnet,19,0.0
strawberry,2025-09-14,2025-11-04,7.3,246.0,0.34,none,,73.29827468599217,perforated_bag,51,0.0
tomato,2025-11-02,2025-11-04,3.3,96.3,2.09,waxed,7.339921504966157,57.11339742367326,carton,2,11.28756332852488
banana,2025-09-21,2025-11-04,19.4,170.8,1.72,none,8.11568950689304,57.02098663366688,loose,44,0.0
potato,2025-08-17,2025-11-04,5.6,311.5,0.19,none,6.3892379244573725,69.9505805206592,loose,79,0.0
orange,2025-10-08,2025-11-02,9.8,225.4,0.92,waxed,7.217627052603098,89.0904596641209,perforated_bag,25,6.043822118260884
orange,2025-08-26,2025-11-04,10.1,193.9,0.05,none,5.949351060254643,64.41443957655711,sealed_punnet,70,0.0
banana,2025-10-23,2025-11-02,18.7,94.8,4.46,waxed,5.129908795601422,79.21827286160877,carton,10,0.0
tomato,2025-09-11,2025-11-02,5.3,90.0,0.5,waxed,6.926688879807891,78.88506323859433,carton,52,0.0
potato,2025-10-14,2025-11-04,5.8,,1.82,pre-cooled,3.238924151079224,85.57059011356577,sealed_punnet,21,33.98743597263569
strawberry,2025-09-25,2025-11-02,9.7,230.8,0.9,pre-cooled,8.726711488622378,84.3112627768784,perforated_bag,38,0.0
potato,2025-09-07,2025-11-02,4.7,315.5,0.63,washed,5.44616701668885,63.42287076058731,carton,56,0.0
tomato,2025-09-28,2025-11-04,6.9,150.6,2.02,waxed,3.418511176813611,74.8878701181771,carton,37,0.0
tomato,2025-09-01,2025-11-02,4.3,84.2,2.13,pre-cooled,4.937344152250079,83.38177219599437,sealed_punnet,62,0.0
grape,2025-08-24,2025-11-04,17.4,412.5,2.4,none,0.044123729016630975,75.30423680042476,perforated_bag,72,0.0
grape,2025-09-24,2025-11-02,22.8,355.8,0.67,pre-cooled,8.001274445860274,69.42718690385446,perforated_bag,39,0.0
strawberry,2025-08-25,2025-11-04,6.9,216.2,0.72,none,7.15915223241401,69.85176103639272,perforated_bag,71,0.0
banana,2025-08-22,2025-11-04,23.6,,,waxed,4.04761903479462,67.41836180500071,carton,74,0.0
strawberry,2025-10-02,2025-11-04,9.1,372.5,1.09,washed,18.252786232551998,63.52829951533098,loose,33,0.0
orange,2025-10-22,2025-11-02,9.2,162.5,0.93,none,6.391768817334026,42.58536940488077,loose,11,17.369641726286023
strawberry,2025-10-21,2025-11-04,7.1,297.3,,pre-cooled,7.31019695188684,85.18238211098637,perforated_bag,14,0.0
potato,2025-10-16,2025-11-02,7.8,179.0,0.33,none,10.677546871447054,74.51223735499383,,17,31.408352936612378
apple,2025-08-31,2025-11-02,10.4,192.2,1.91,washed,14.778472015554879,62.934184712925216,sealed_punnet,63,0.0
tomato,2025-09-12,2025-11-03,4.5,166.3,1.43,none,7.885661975010111,95.0,loose,52,0.0
grape,2025-08-28,2025-11-03,17.3,380.1,1.96,pre-cooled,4.877601955526891,100.0,carton,67,0.0
potato,2025-08-18,2025-11-04,6.4,248.4,1.5,none,,91.68808081300705,sealed_punnet,78,0.0
stawberry,2025-11-03,2025-11-03,9.6,151.1,1.22,pre-cooled,11.895067743756371,83.62939711242224,perforated_bag,0,5.574238760542994
orange,2025-09-23,2025-11-03,10.6,248.7,1.7,washed,11.391313731081873,55.96555515999883,loose,41,0.0
strawberry,2025-09-02,2025-11-02,8.8,177.6,3.95,washed,5.9657727634345035,80.10766588593913,sealed_punnet,61,0.0
apple,2025-09-09,2025-11-02,,147.3,1.12,washed,10.185595806669086,71.4145747243739,perforated_bag,54,0.0
grape,2025-09-21,2025-11-03,19.1,188.4,0.98,waxed,13.74965997372221,75.40463025279863,loose,43,0.0
banana,2025-08-23,2025-11-04,22.5,,3.97,,19.546200099137504,64.58540604711021,loose,73,0.0
apple,2025-09-04,2025-11-03,10.8,135.8,1.23,pre-cooled,5.832761465628409,73.07041147433297,sealed_punnet,60,0.0
tomato,2025-10-29,2025-11-04,6.9,185.1,1.26,pre-cooled,7.5067041610559215,58.776793867062345,carton,6,10.951135531042006
potato,2025-10-28,2025-11-02,5.0,210.9,1.76,none,8.393606667259474,67.53368160963078,perforated_bag,5,45.036825447761416
grape,2025-09-14,2025-11-02,21.5,287.5,1.23,none,15.43775359796247,41.073244366414535,loose,49,0.0
potato,2025-09-22,2025-11-04,5.9,349.7,3.38,waxed,6.388265030445901,68.1661896347987,sealed_punnet,43,7.729397950857038
tomato,2025-10-16,2025-11-03,3.9,179.6,,washed,2.654745578774101,62.19022565561474,sealed_punnet,18,0.0
potato,2025-09-24,2025-11-03,7.6,260.3,2.86,pre-cooled,2.667131784196016,72.32996238232968,perforated_bag,40,8.72569361276086
orange,2025-09-14,2025-11-02,,236.2,0.47,waxed,,58.529829121862335,loose,49,0.0
banana,2025-09-02,2025-11-02,23.9,140.2,1.04,none,5.844861628319187,83.14730721621682,carton,61,0.0
potato,2025-09-30,2025-11-04,4.8,285.5,1.28,waxed,3.624595997691179,,loose,35,13.860386879116898
tomato,2025-10-01,2025-11-02,4.8,,1.38,waxed,19.521064503426146,63.68036330435805,loose,32,0.0
potato,2025-08-21,2025-11-02,5.8,291.0,0.16,pre-cooled,7.236327615411713,80.75508727756684,sealed_punnet,73,0.0
orange,2025-10-23,2025-11-02,11.7,203.9,1.08,washed,4.8027883822707205,80.86801850735655,carton,10,23.362515175320606
strawberry,2025-10-30,2025-11-03,9.1,206.6,2.53,pre-cooled,6.969124871362139,82.4415777889464,sealed_punnet,4,4.814151539455474
grape,2025-09-10,2025-11-03,18.6,375.9,1.29,none,6.956481130738592,47.17039567656779,carton,54,0.0
orange,2025-10-06,2025-11-04,12.8,138.7,1.43,waxed,13.562961150767656,52.59992777906126,loose,29,0.0
apple,2025-09-08,2025-11-03,13.0,198.6,1.0,washed,8.926007204666279,91.82647594013298,carton,56,0.0
grape,2025-09-30,2025-11-03,16.4,268.6,3.35,waxed,2.3879957318898404,87.09087711472759,perforated_bag,34,0.0
ornge,2025-10-30,2025-11-02,9.1,213.5,1.71,none,5.036761711622259,71.11588759011225,sealed_punnet,3,25.771792155722643
grape,2025-09-03,2025-11-02,18.7,283.5,2.66,washed,7.177313112228683,92.57071341531166,sealed_punnet,60,0.0
tomato,2025-09-02,2025-11-04,3.7,156.2,,pre-cooled,15.211391283355159,61.959067515505986,loose,63,0.0
grape,2025-09-28,2025-11-04,16.1,262.1,1.54,none,7.6723680014180236,71.10694379246429,sealed_punnet,37,0.0
potto,2025-10-14,2025-11-04,6.0,314.0,1.18,pre-cooled,,77.81583405085834,perforated_bag,21,29.155426605186783
tomato,2025-10-08,2025-11-03,3.6,124.2,2.56,washed,10.650836472235696,58.6779666302899,sealed_punnet,26,0.0
potato,2025-11-01,2025-11-04,5.7,332.3,0.26,washed,6.66906090888649,75.10487982673875,sealed_punnet,3,50.09879515117405
grape,2025-08-24,2025-11-02,17.9,219.2,,pre-cooled,8.926884000856766,77.4304662965365,perforated_bag,70,0.0
grape,2025-10-20,2025-11-03,21.2,489.6,1.55,washed,8.6185941729465,76.97372605439661,perforated_bag,14,0.0
grape,2025-10-04,2025-11-04,22.0,,2.78,waxed,-0.29712328131835797,84.06138918091378,perforated_bag,31,0.0
banana,2025-10-28,2025-11-02,18.3,142.5,1.42,washed,,78.68917202908247,perforated_bag,5,3.935812755989713
strawberry,2025-10-14,2025-11-02,7.6,313.6,1.37,waxed,12.061811392698717,74.20673803623787,perforated_bag,19,0.0
banana,2025-09-18,2025-11-02,18.5,108.2,0.13,none,11.49986070529332,40.46095142741791,loose,45,0.0
apple,2025-08-21,2025-11-04,,,5.0,none,0.795072909162374,81.44068542994957,carton,75,0.0
strawberry,2025-10-07,2025-11-04,8.5,193.1,0.41,pre-cooled,10.701565682794657,50.01515438720644,loose,28,0.0
tomato,2025-08-19,2025-11-04,6.2,131.6,2.29,pre-cooled,2.311927558145026,76.0543922618137,,77,0.0
potato,2025-09-25,2025-11-02,6.8,344.7,0.29,pre-cooled,4.124677737919042,86.33688498098509,sealed_punnet,38,17.213373151866005
banana,2025-09-16,2025-11-02,19.5,112.1,0.36,pre-cooled,5.734349845370968,88.0200309375869,sealed_punnet,47,0.0
banana,2025-10-13,2025-11-03,19.7,154.4,0.34,,,95.0,perforated_bag,21,0.0
potato,2025-09-12,2025-11-02,5.6,248.7,3.5,pre-cooled,,85.3476080710469,carton,51,1.0713270681999232
potato,2025-10-27,2025-11-02,7.6,252.2,1.74,waxed,7.732168576486968,63.16582902815209,loose,6,43.15501860450965
orange,2025-09-11,2025-11-04,11.8,149.2,1.89,pre-cooled,11.25169240355978,71.67526747488407,perforated_bag,54,0.0
apple,2025-09-07,2025-11-04,11.7,169.1,0.1,waxed,5.784880961145095,83.14535459695324,carton,58,0.0
grape,2025-09-22,2025-11-03,21.2,488.2,0.38,none,2.938526103757713,36.3119063728123,loose,42,0.0
grape,2025-10-27,2025-11-03,18.4,460.3,0.99,pre-cooled,4.320407318215386,66.8440822878085,perforated_bag,7,10.71408137424497
potato,2025-10-01,2025-11-04,5.4,203.7,0.14,waxed,19.55676573988768,74.73095406080549,loose,34,12.829780396527287
tomato,2025-09-15,2025-11-03,4.9,191.0,,washed,9.038828654009343,76.33760574054229,sealed_punnet,49,0.0
potato,2025-09-21,2025-11-03,6.7,177.1,2.52,washed,7.370868546516347,65.68401856471195,sealed_punnet,43,8.654759604663926
tomato,2025-10-22,2025-11-03,4.5,153.6,4.59,waxed,9.565503042104117,89.36201394905221,carton,12,0.9960865002285377
tomato,2025-09-13,2025-11-03,3.6,126.0,1.21,pre-cooled,4.408232057439078,74.80319245671731,perforated_bag,51,0.0
orange,2025-09-22,2025-11-02,11.0,237.4,1.47,pre-cooled,11.12589847544503,83.33160494025807,perforated_bag,41,0.0
grape,2025-08-17,2025-11-04,23.2,82.12,2.51,waxed,3.022022953645256,69.51194977222832,sealed_punnet,79,0.0
strawberry,2025-09-25,2025-11-02,9.3,243.6,1.11,waxed,12.000457537478727,80.15457697924836,carton,38,0.0
orange,2025-10-31,2025-11-03,11.6,176.8,0.89,washed,12.833098962608556,70.24676582317811,perforated_bag,3,25.508117170019208
potto,2025-09-15,2025-11-03,6.9,321.0,3.37,none,6.0353485638529865,88.88086889456378,perforated_bag,49,0.0
grape,2025-09-23,2025-11-04,18.7,213.7,,washed,6.9676814879926585,75.93627861455306,sealed_punnet,42,0.0
potato,2025-10-01,2025-11-02,6.0,333.3,0.75,pre-cooled,6.982878651985245,95.0,carton,32,20.473262085229813
banana,2025-09-17,2025-11-03,21.1,,0.58,washed,6.21139888677547,72.872599819344,perforated_bag,47,0.0
orange,2025-09-13,2025-11-04,11.0,247.0,,washed,9.527510130925112,59.71658424697853,loose,52,0.0
orange,2025-10-09,2025-11-04,12.8,233.3,1.08,washed,4.883596375975955,74.40960168409313,carton,26,5.118444087558045
strawberry,2025-10-17,2025-11-04,9.5,310.8,2.04,pre-cooled,6.045101776625372,69.00350488549068,sealed_punnet,18,0.0
tomato,2025-08-24,2025-11-02,4.2,199.9,0.13,none,2.850268163943583,85.24504424447717,sealed_punnet,70,0.0
orange,2025-09-16,2025-11-03,12.7,201.4,0.98,washed,21.428942582427634,59.020387679865074,loose,48,0.0
apple,2025-10-15,2025-11-04,12.9,213.3,5.0,waxed,10.248758122740966,,perforated_bag,20,16.069916379428257
orange,2025-09-03,2025-11-03,11.7,130.4,5.0,pre-cooled,14.54522572398572,57.59695407824669,loose,61,0.0
grape,2025-10-28,2025-11-02,19.8,409.5,1.88,waxed,7.519395185784264,75.75388469234348,sealed_punnet,5,11.13700230767749
tomato,2025-08-20,2025-11-02,4.2,133.0,0.62,waxed,5.958413596487186,66.34790946147753,sealed_punnet,74,0.0
tomato,2025-09-04,2025-11-02,3.2,110.6,3.22,pre-cooled,4.590738484454906,89.43433945370882,loose,59,0.0
apple,2025-08-30,2025-11-03,14.7,,1.45,washed,6.085697288332758,84.14955333010224,sealed_punnet,65,0.0
potato,2025-10-26,2025-11-02,6.4,198.3,,waxed,8.348218547230356,79.89057500541556,perforated_bag,7,45.72529427534603
tomato,2025-10-01,2025-11-02,3.2,190.7,5.0,pre-cooled,,85.44386051876579,sealed_punnet,32,0.0
strawberry,2025-10-17,2025-11-03,8.3,364.0,0.61,none,6.392317406832592,82.87033471949847,carton,17,0.0
orange,2025-09-21,2025-11-03,10.7,160.9,1.76,pre-cooled,8.593754375255314,82.05513386060247,sealed_punnet,43,0.0
grape,2025-09-25,2025-11-03,20.9,457.4,,washed,7.539338375253475,57.21464730805447,perforated_bag,39,0.0
grape,2025-08-19,2025-11-02,17.1,,0.92,pre-cooled,6.290693628102944,65.91846051392329,sealed_punnet,75,0.0
grape,2025-09-09,2025-11-02,23.7,303.7,1.73,none,8.75279781077889,78.12917988901171,carton,54,0.0
apple,2025-09-11,2025-11-02,13.5,121.6,2.65,waxed,8.667264238073109,72.59601524311589,perforated_bag,52,0.0
banana,2025-08-31,2025-11-04,18.7,136.0,1.58,waxed,3.8252912212200827,60.63939505163667,sealed_punnet,65,0.0
grape,2025-10-26,2025-11-03,20.6,443.5,1.5,waxed,6.239987565730747,71.0129821751681,sealed_punnet,8,8.169073281491087
potato,2025-09-11,2025-11-04,,308.4,1.85,waxed,2.9545573908766927,77.90275017459203,carton,54,0.0
orange,2025-10-09,2025-11-03,11.8,249.2,1.49,pre-cooled,,76.5709865064383,sealed_punnet,25,7.176248745178409
orange,2025-10-10,2025-11-04,11.5,225.7,0.4,washed,1.0078618514559778,55.3216987690742,perforated_bag,25,6.720971399805219
strawberry,2025-09-12,2025-11-02,6.4,258.2,,washed,6.4591265175762675,87.9964267453376,loose,51,0.0
grape,2025-08-31,2025-11-02,19.4,,5.0,waxed,1.2597644103297911,85.11119071444354,perforated_bag,63,0.0
grape,2025-09-16,2025-11-03,16.6,276.7,3.76,washed,8.224378007757409,72.03975975377881,loose,48,0.0
banana,2025-10-22,2025-11-03,23.8,122.7,0.41,none,,88.73042329384802,,12,0.0
apple,2025-08-21,2025-11-04,12.7,163.1,0.77,pre-cooled,13.812254343128053,59.82089553068448,loose,75,0.0
potato,2025-10-22,2025-11-02,7.7,191.7,,none,17.107474932037196,53.53796817332804,loose,11,29.54326475559816
strawberry,2025-10-22,2025-11-04,7.0,214.7,0.33,none,8.975561101523573,73.25288962070026,carton,13,0.0
apple,2025-11-01,2025-11-03,,233.1,1.29,washed,,61.401439755280975,sealed_punnet,2,37.94843164871292
apple,2025-08-20,2025-11-04,15.9,181.3,1.49,waxed,,77.17439080725842,carton,76,0.0
banana,2025-08-23,2025-11-03,22.0,164.5,2.83,waxed,7.325235860071493,,perforated_bag,72,0.0
orange,2025-09-06,2025-11-03,11.8,241.9,0.73,washed,8.816615487984109,84.276455318033,perforated_bag,58,0.0
potato,2025-08-24,2025-11-04,5.4,388.5,2.35,none,10.917687753401344,86.34686019927562,perforated_bag,72,0.0
apple,2025-08-25,2025-11-02,13.3,132.1,0.62,waxed,3.0667367968738546,74.48418742784422,sealed_punnet,69,0.0
strawberry,2025-09-12,2025-11-02,8.7,372.3,1.04,pre-cooled,0.15310908534427448,77.67354437426252,carton,51,0.0
strawberry,2025-08-22,2025-11-02,,392.2,1.76,pre-cooled,,65.88217712331358,sealed_punnet,72,0.0
banana,2025-09-07,2025-11-04,18.1,161.0,0.11,pre-cooled,5.853784983451892,72.12793820216731,perforated_bag,58,0.0
grape,2025-09-12,2025-11-04,18.7,446.8,2.78,waxed,7.218255329623287,46.79831177759309,carton,53,0.0
tomato,2025-09-23,2025-11-04,5.3,148.5,1.73,washed,13.851820016915873,70.54529113233127,carton,42,0.0
strawberry,2025-09-19,2025-11-04,7.9,383.2,1.44,pre-cooled,12.405622917092515,49.691072203616926,loose,46,0.0
tomato,2025-11-01,2025-11-02,6.8,169.7,5.0,pre-cooled,6.929579833103043,91.34608848829265,sealed_punnet,1,14.305297421074311
tomato,2025-09-16,2025-11-04,3.6,124.9,1.99,waxed,-0.09572644393177754,59.94720823838559,perforated_bag,49,0.0
apple,2025-09-14,2025-11-04,14.7,223.3,2.87,washed,16.201377270048795,61.78528085401311,loose,51,0.0
tomato,2025-10-27,2025-11-02,4.3,84.3,2.63,pre-cooled,6.107529884574148,66.74212874745493,sealed_punnet,6,10.201099754754756
potato,2025-10-07,2025-11-04,7.7,332.6,2.98,pre-cooled,17.038815378257816,69.95459064270186,loose,28,19.825875998832302
strawberry,2025-10-01,2025-11-02,6.3,222.7,,waxed,10.052981717182547,63.77098843923167,carton,32,0.0
apple,2025-09-23,2025-11-04,13.4,,,waxed,3.8241435636687107,74.25917337933811,carton,42,0.0
potato,2025-09-04,2025-11-04,8.0,388.0,2.38,,6.508896822140987,61.196470645868146,perforated_bag,61,0.0
potato,2025-09-08,2025-11-02,6.5,362.3,2.15,washed,,76.04865033078613,sealed_punnet,55,0.0
orange,2025-10-05,2025-11-04,13.0,,1.99,pre-cooled,8.328880772241966,44.17437824856762,carton,30,3.108157762145508
banana,2025-09-16,2025-11-02,21.8,143.0,0.82,pre-cooled,6.04162047020491,79.27438228083386,perforated_bag,47,0.0
strawberry,2025-10-16,2025-11-04,7.3,340.4,0.78,washed,4.3137185695554425,91.59419498858209,carton,19,0.0
tomato,2025-10-17,2025-11-04,4.4,134.9,1.05,pre-cooled,14.997893139068767,49.67391208193627,loose,18,0.0
grape,2025-09-22,2025-11-04,21.8,296.5,0.59,waxed,9.28585234921193,89.0218187380139,perforated_bag,43,0.0
tomato,2025-09-24,2025-11-03,6.0,97.3,0.67,pre-cooled,,80.20976873491772,sealed_punnet,40,0.0
banana,2025-10-04,2025-11-04,20.1,92.8,2.72,washed,13.576657353222124,,loose,31,0.0
bananna,2025-08-19,2025-11-04,21.2,98.2,5.0,none,10.100240210083191,78.13143023133532,sealed_punnet,77,0.0
grape,2025-09-04,2025-11-02,19.2,421.6,0.09,pre-cooled,2.620888811565044,81.47804971950823,carton,59,0.0
tomato,2025-09-25,2025-11-03,4.7,120.2,4.21,washed,7.085723509082964,62.77637192995746,carton,39,0.0
tomato,2025-08-19,2025-11-02,4.6,170.2,2.78,washed,16.09432032792553,,loose,75,0.0
apple,2025-10-11,2025-11-03,13.0,231.3,0.04,washed,8.259952566997324,38.58073760553474,loose,23,15.963720235669879
apple,2025-10-02,2025-11-03,11.3,169.4,0.32,waxed,4.398956100402941,78.466063404725,sealed_punnet,32,9.462823094409025
banana,2025-10-09,2025-11-03,22.3,139.2,3.96,none,2.045723892613483,81.09812519874752,carton,25,0.0
banana,2025-08-26,2025-11-03,22.9,144.1,0.93,washed,16.77048830187988,,loose,69,0.0
apple,2025-10-30,2025-11-04,10.0,,5.0,washed,,69.84565135318616,carton,5,33.26984526358592
tomato,2025-09-25,2025-11-03,,187.7,0.16,waxed,5.967296606988856,92.85586702476073,carton,39,0.0
strawberry,2025-09-16,2025-11-04,8.2,217.4,0.68,waxed,10.22830327215273,75.1921885221727,carton,49,0.0
orange,2025-09-16,2025-11-04,9.1,215.2,3.12,waxed,7.927487038587911,,loose,49,0.0
appel,2025-09-29,2025-11-03,13.8,134.9,2.55,none,15.198953166908392,69.5064990879867,perforated_bag,35,1.046198197895319
tomato,2025-10-22,2025-11-04,3.9,176.6,2.99,none,1.4362210809652192,67.61574994056136,carton,13,0.5727006169141724
potato,2025-08-23,2025-11-04,4.8,231.1,2.71,washed,2.4699054426872804,81.29085409014,carton,73,0.0
banana,2025-09-27,2025-11-02,22.5,109.9,1.42,pre-cooled,8.428884834186478,65.56538421305652,sealed_punnet,36,0.0
strawberry,2025-10-16,2025-11-02,9.9,244.9,4.03,none,11.348568753580418,54.678162731780944,loose,17,0.0
strawberry,2025-10-29,2025-11-02,30.0,272.4,3.4,pre-cooled,11.289369194750206,81.98399121329402,,4,0.0
strawberry,2025-10-07,2025-11-04,7.6,283.8,2.77,washed,5.461594926972088,75.59910439684482,carton,28,0.0
grape,2025-10-23,2025-11-04,16.7,318.6,1.52,washed,11.726268021618923,54.94816958384189,loose,12,0.0
orange,2025-08-22,2025-11-03,9.6,149.9,1.84,washed,22.27610484258173,67.62152512500921,loose,73,0.0
orange,2025-10-09,2025-11-03,10.3,188.6,1.53,waxed,2.5716279150107972,65.77023101625906,carton,25,6.228427143132348
tomato,2025-10-04,2025-11-04,,135.8,0.29,none,7.36019646172679,80.82686961681618,perforated_bag,31,0.0
grape,2025-08-18,2025-11-03,19.8,286.0,3.36,waxed,11.741510303123842,51.751746787700476,loose,77,0.0
orange,2025-08-25,2025-11-02,12.6,211.0,0.41,washed,5.655835464618252,77.780092848865,sealed_punnet,69,0.0
tomato,2025-09-29,2025-11-03,4.9,152.6,,washed,15.725934409469138,61.332809678347594,loose,35,0.0
apple,2025-10-28,2025-11-03,14.2,142.5,,pre-cooled,,75.61310397556036,perforated_bag,6,32.54538394111724
tomato,2025-10-29,2025-11-03,6.0,144.9,1.63,washed,6.790565337613159,65.30290706597043,loose,5,10.57720032266458
strawberry,2025-09-17,2025-11-03,8.2,330.6,2.0,none,3.1510837647277294,71.1841645135158,sealed_punnet,47,0.0
orange,2025-11-03,2025-09-14,,236.4,1.31,none,12.10877915297144,84.01764687940283,perforated_bag,50,0.0
apple,2025-09-03,2025-11-03,14.3,223.0,1.66,washed,-0.7092786105154909,74.82939312859536,carton,61,0.0
tomato,2025-10-02,2025-11-04,6.7,110.2,0.69,washed,17.68529430022761,77.81320846128274,loose,33,0.0
banana,2025-08-20,2025-11-03,18.5,155.7,,none,3.450384985780417,84.68176152875425,carton,75,0.0
grape,2025-09-03,2025-11-02,19.7,425.7,1.67,none,6.872740204776995,65.72285707715632,sealed_punnet,60,0.0
apple,2025-10-05,2025-11-04,,204.8,3.5,washed,11.271822651216432,,sealed_punnet,30,8.507923487878639
grape,2025-10-13,2025-11-02,22.3,397.8,0.88,washed,5.278269975847241,53.01279524989467,loose,20,0.0
orange,2025-09-13,2025-11-04,10.6,129.7,1.41,waxed,12.43592095410841,71.09795494039744,perforated_bag,52,0.0
potato,2025-10-31,2025-11-03,6.9,,3.91,pre-cooled,-0.2833125801447087,68.24062335196173,sealed_punnet,3,49.69504780986482
grape,2025-10-26,2025-11-04,23.9,319.5,1.58,none,8.344089700163583,,perforated_bag,9,4.293995555401114
grape,2025-09-14,2025-11-02,19.7,,4.91,waxed,,74.78667618368912,carton,49,0.0
grape,2025-10-21,2025-11-03,20.2,270.7,2.75,waxed,7.880800095220715,69.39778372235132,perforated_bag,13,0.4976038639331456
apple,2025-10-07,2025-11-02,13.4,228.6,0.61,pre-cooled,4.804223883258723,64.62673801698658,carton,26,17.195377478677997
potato,2025-08-23,2025-11-04,5.8,393.3,2.85,pre-cooled,6.435360998782811,74.80763238935941,sealed_punnet,73,0.0
banana,2025-09-25,2025-11-03,18.1,154.0,2.27,waxed,9.396049074512318,95.0,perforated_bag,39,0.0
tomato,2025-09-20,2025-11-02,4.1,140.8,0.66,waxed,3.071492944594386,77.20548906895222,carton,43,0.0
strawberry,2025-09-18,2025-11-02,8.8,343.5,1.19,none,9.440523805110251,76.78715124335953,perforated_bag,45,0.0
potato,2025-10-06,2025-11-04,7.2,310.4,1.77,pre-cooled,6.903934744723612,65.29332232617226,perforated_bag,29,22.992222237665885
tomato,2025-10-04,2025-11-02,5.9,81.9,1.31,waxed,6.694556316139384,79.0265698164716,sealed_punnet,29,0.0
orange,2025-09-22,2025-11-04,10.3,151.6,0.32,pre-cooled,14.036985888221853,44.04380871128846,loose,43,0.0
grape,2025-10-20,2025-11-02,,200.5,1.54,none,10.473157213242832,76.90923731755106,perforated_bag,13,0.0
potato,2025-09-17,2025-11-04,5.7,319.9,1.07,washed,13.142974468018023,95.0,sealed_punnet,48,0.0
tomato,2025-10-02,2025-11-04,4.4,85.5,2.07,pre-cooled,6.732654829633615,71.07704750940155,loose,33,0.0
banana,2025-10-05,2025-11-02,20.5,100.6,0.15,washed,4.871990528811078,81.18927613595238,carton,28,0.0
potato,2025-10-25,2025-11-04,,298.8,2.16,waxed,10.455649752441351,86.17632441603958,sealed_punnet,10,39.85471915578929
orange,2025-08-31,2025-11-02,9.7,246.3,2.76,none,10.207744251129203,69.6241594481204,sealed_punnet,63,0.0
apple,2025-10-28,2025-11-03,11.4,157.0,1.34,none,8.122586756577933,56.232573757009675,loose,6,29.482728800531202
strawberry,2025-10-13,2025-11-02,8.9,377.4,0.67,washed,10.691579465196583,51.65327551684291,perforated_bag,20,0.0
strawberry,2025-10-09,2025-11-02,9.8,264.7,0.64,washed,6.976475696466021,49.54892076155988,loose,24,0.0
apple,2025-10-13,2025-11-02,10.7,,0.22,washed,8.981069028901913,81.91184158377241,carton,20,19.337863403611145
apple,2025-08-31,2025-11-04,10.7,212.9,,pre-cooled,14.798307851621843,,,65,0.0
grape,2025-09-13,2025-11-04,17.9,168.8,0.46,waxed,2.7580217112772516,49.55924481265939,carton,52,0.0
apple,2025-08-27,2025-11-04,15.9,152.8,1.72,washed,8.758225286260942,74.21613300270607,sealed_punnet,69,0.0
potato,2025-08-29,2025-11-02,8.0,287.9,1.3,none,5.286401675811025,49.454225051542565,loose,65,0.0
banana,2025-08-21,2025-11-04,22.8,95.6,0.87,none,-0.6778062538742331,67.12448559371293,carton,75,0.0
orange,2025-10-02,2025-11-04,11.3,150.9,0.51,waxed,-5.496555854226168,71.61374652965442,loose,33,0.0
potato,2025-10-11,2025-11-02,4.8,283.4,1.09,waxed,,95.0,carton,22,32.03590181536029
strawberry,2025-09-04,2025-11-03,,187.1,1.61,waxed,12.708523583269658,64.18658197564406,loose,60,0.0
potato,2025-10-30,2025-11-03,5.6,51.400000000000006,1.34,none,13.734801484422405,69.16734436458559,loose,4,40.64447021012186
strawberry,2025-11-02,2025-11-03,9.2,217.3,0.33,none,5.575571389603209,,sealed_punnet,1,9.457410114554147
banana,2025-10-05,2025-11-02,22.5,136.5,1.03,none,15.711442537891518,72.69763335080906,loose,28,0.0
grape,2025-09-28,2025-11-02,19.0,366.3,2.83,pre-cooled,12.57952649479256,78.2572503424363,perforated_bag,35,0.0
banana,2025-10-02,2025-11-03,22.6,137.8,,washed,4.524674048441159,58.935410989595866,perforated_bag,32,0.0
